antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
APPLES,BAKED BREAD/BUNS/ROLLS,0.04319741622930965,0.2228502220427937,0.022607993540573273,0.5233644859813084,2.3485033184342408,1.0,0.012981439742196638,1.6304907106160993,0.6001205545509343,0.09286898839137644,0.38668770481854586,0.3124068806718136,APPLES,BAKED BREAD/BUNS/ROLLS
APPLES,FLUID MILK PRODUCTS,0.04319741622930965,0.24047907414883596,0.024357421612165253,0.5638629283489096,2.344748416654028,1.0,0.013969346951718968,1.7414729799873117,0.5994078840012121,0.09392838609237156,0.42577346218298145,0.3325750008280642,APPLES,FLUID MILK PRODUCTS
APPLES,TROPICAL FRUIT,0.04319741622930965,0.12663167810523482,0.023684564661552953,0.5482866043613707,4.329774449531717,1.0,0.018214403354625167,1.9334567677808248,0.8037615074798619,0.16206261510128914,0.48279164206615494,0.36766083671841115,APPLES,TROPICAL FRUIT
BACON,BAKED BREAD/BUNS/ROLLS,0.03794913201453371,0.2228502220427937,0.021531422419593594,0.5673758865248226,2.545996505293452,1.0,0.013074449923823466,1.7963626015076406,0.6311791859001259,0.08998875140607425,0.4433195173620705,0.33199712200637266,BACON,BAKED BREAD/BUNS/ROLLS
BACON,CHEESE,0.03794913201453371,0.16431166733952363,0.020320279908491456,0.5354609929078015,3.258812971578929,1.0,0.014084794753095726,1.7989626703072852,0.7204814455594678,0.11168639053254438,0.4441240963442629,0.32956505828846255,BACON,CHEESE
BACON,FLUID MILK PRODUCTS,0.03794913201453371,0.24047907414883596,0.020185708518368994,0.5319148936170213,2.2118967960090012,1.0,0.011059736386761977,1.6226128870456686,0.5695118198349419,0.0781657113079729,0.383710059260823,0.30792722856564547,BACON,FLUID MILK PRODUCTS
BAG SNACKS,BAKED BREAD/BUNS/ROLLS,0.1586596689543803,0.2228502220427937,0.07307226483649576,0.46055979643765904,2.0666786517682634,1.0,0.037714922380775964,1.4406597298923685,0.6134638020805717,0.2369109947643979,0.30587356663692544,0.3942291735811484,BAG SNACKS,BAKED BREAD/BUNS/ROLLS
BAKED BREAD/BUNS/ROLLS,BAG SNACKS,0.2228502220427937,0.1586596689543803,0.07307226483649576,0.3278985507246377,2.0666786517682634,1.0,0.037714922380775964,1.251805559938496,0.664134318719954,0.2369109947643979,0.2011538916242455,0.3942291735811484,BAKED BREAD/BUNS/ROLLS,BAG SNACKS
BAKED SWEET GOODS,BAG SNACKS,0.06526712420939308,0.1586596689543803,0.024761135782532633,0.37938144329896906,2.3911649746858687,1.0,0.014405875461865905,1.355648041718025,0.622417187245709,0.12432432432432432,0.2623454102934484,0.26772295235347093,BAKED SWEET GOODS,BAG SNACKS
BEEF,BAG SNACKS,0.1438568160409097,0.1586596689543803,0.04629255820212623,0.3217960710944809,2.028215949366486,1.0,0.023468283392244313,1.2405418122589897,0.5921390998881441,0.18067226890756305,0.193900608493776,0.30678437990686724,BEEF,BAG SNACKS
CANNED JUICES,BAG SNACKS,0.07387969317723052,0.1586596689543803,0.025837706903512312,0.34972677595628415,2.2042575675412617,1.0,0.01411597924156173,1.2938258872382218,0.5899152680906713,0.125,0.22709847602865443,0.2562883243649105,CANNED JUICES,BAG SNACKS
BAG SNACKS,CHEESE,0.1586596689543803,0.16431166733952363,0.059345983044004846,0.37404580152671757,2.2764409100286964,1.0,0.03327634829857377,1.3350630680307611,0.6664577539269068,0.225114854517611,0.2509717151602316,0.36761258135303937,BAG SNACKS,CHEESE
CHEESE,BAG SNACKS,0.16431166733952363,0.1586596689543803,0.059345983044004846,0.36117936117936117,2.276440910028696,1.0,0.03327634829857377,1.3170212105214125,0.6709651976732722,0.225114854517611,0.24071078581635202,0.36761258135303937,CHEESE,BAG SNACKS
COLD CEREAL,BAG SNACKS,0.09083568833266048,0.1586596689543803,0.029067420266451354,0.32,2.0168956743002546,1.0,0.014655460026348177,1.2372651927141467,0.5545626110124334,0.13186813186813187,0.1917658349328215,0.2516030534351145,COLD CEREAL,BAG SNACKS
CONDIMENTS/SAUCES,BAG SNACKS,0.08114654824384336,0.1586596689543803,0.030278562777553492,0.3731343283582089,2.351790664995632,1.0,0.017403878296394656,1.3421381471442027,0.6255536028119508,0.14450867052023122,0.2549202165754719,0.28198701150734873,CONDIMENTS/SAUCES,BAG SNACKS
CONVENIENT BRKFST/WHLSM SNACKS,BAG SNACKS,0.05275198492800431,0.1586596689543803,0.021127708249226215,0.4005102040816326,2.5243353066417407,1.0,0.012758095783862592,1.403427275616523,0.6374846962736274,0.11103253182461104,0.2874586254847428,0.26683695106541344,CONVENIENT BRKFST/WHLSM SNACKS,BAG SNACKS
COOKIES/CONES,BAG SNACKS,0.07643654958955726,0.1586596689543803,0.030278562777553492,0.3961267605633803,2.49670734329642,1.0,0.018151165123659264,1.393239965113446,0.6490864053620865,0.1478318002628121,0.28224855370225194,0.2934832276099344,COOKIES/CONES,BAG SNACKS
CRACKERS/MISC BKD FD,BAG SNACKS,0.078993406001884,0.1586596689543803,0.030547705557798413,0.38671209540034074,2.4373686012891707,1.0,0.018014637911960542,1.3718521508993853,0.6403010321912889,0.147498375568551,0.2710584742354338,0.2896240714491102,CRACKERS/MISC BKD FD,BAG SNACKS
DELI MEATS,BAG SNACKS,0.06567083837976047,0.1586596689543803,0.025568564123267395,0.38934426229508196,2.453958620114295,1.0,0.015149250645977986,1.3777653743297398,0.6341396484152914,0.12863913337846986,0.27418701425379943,0.27524889111361395,DELI MEATS,BAG SNACKS
BAG SNACKS,FLUID MILK PRODUCTS,0.1586596689543803,0.24047907414883596,0.059211411653882384,0.37319762510602206,1.5518923067503356,1.0,0.021057081358972198,1.2117390684418436,0.42268910312336416,0.17418844022169436,0.17473982143211372,0.30971017237393994,BAG SNACKS,FLUID MILK PRODUCTS
FROZEN PIZZA,BAG SNACKS,0.08074283407347597,0.1586596689543803,0.03391199031085991,0.42,2.647175572519084,1.0,0.021101358986323752,1.4505867776648613,0.6768931551540246,0.16502946954813358,0.31062380038387716,0.31687022900763356,FROZEN PIZZA,BAG SNACKS
FRZN MEAT/MEAT DINNERS,BAG SNACKS,0.08626026106849684,0.1586596689543803,0.027721706365226754,0.3213728549141966,2.025548502856145,1.0,0.014035681900180626,1.2397681659775683,0.5541036933239916,0.12763320941759604,0.1933975823524304,0.24804859878873528,FRZN MEAT/MEAT DINNERS,BAG SNACKS
HISPANIC,BAG SNACKS,0.04925312878482035,0.1586596689543803,0.022473422150450815,0.4562841530054645,2.87586729515149,1.0,0.01465893704248376,1.547389754586416,0.6860698984197211,0.12119013062409288,0.35375040642732036,0.2989648076308069,HISPANIC,BAG SNACKS
HOT DOGS,BAG SNACKS,0.053559413268739066,0.1586596689543803,0.020993136859103756,0.3919597989949749,2.4704438221642566,1.0,0.012495418080494772,1.383691949405606,0.6288978332914064,0.10978184377199157,0.27729578796091786,0.2621376603117368,HOT DOGS,BAG SNACKS
LUNCHMEAT,BAG SNACKS,0.08558740411788454,0.1586596689543803,0.031489705288655634,0.3679245283018868,2.3189543425032406,1.0,0.017910436084647305,1.3310757476244133,0.6220071319409067,0.14800759013282733,0.24872795422445954,0.28319890537231746,LUNCHMEAT,BAG SNACKS
MILK BY-PRODUCTS,BAG SNACKS,0.07038083703404656,0.1586596689543803,0.028394563315839054,0.40344168260038243,2.5428118264660236,1.0,0.017227963011285038,1.4103236959514713,0.6526700274700395,0.1415157612340711,0.29094292120976356,0.291203453683567,MILK BY-PRODUCTS,BAG SNACKS
SALD DRSNG/SNDWCH SPRD,BAG SNACKS,0.07455255012784281,0.1586596689543803,0.027452563584981833,0.36823104693140796,2.320886267809408,1.0,0.01562408066199345,1.3317215525693522,0.6149783164683643,0.13342053629823414,0.24909227603123682,0.27062951837664545,SALD DRSNG/SNDWCH SPRD,BAG SNACKS
BAG SNACKS,SOFT DRINKS,0.1586596689543803,0.28367649037814563,0.08181940519445566,0.5156912637828668,1.817885095431918,1.0,0.036811387140918625,1.479063779061587,0.5347541418325082,0.22695035460992907,0.323896633697254,0.40205815561059843,BAG SNACKS,SOFT DRINKS
SOUP,BAG SNACKS,0.06715112367110752,0.1586596689543803,0.021531422419593594,0.32064128256513025,2.0209375493990525,1.0,0.010877247368021023,1.2384331126600714,0.5415455496249278,0.10540184453227933,0.19252805034252765,0.2281747549382055,SOUP,BAG SNACKS
TOMATOES,BAG SNACKS,0.072264836495761,0.1586596689543803,0.022742564930695736,0.31471135940409684,1.9835624357352362,1.0,0.011277049895235876,1.2277167330747223,0.5344807164449663,0.1092436974789916,0.18547986432051242,0.22902658725081856,TOMATOES,BAG SNACKS
VEGETABLES - SHELF STABLE,BAG SNACKS,0.0736105503969856,0.1586596689543803,0.025030278562777553,0.34003656307129804,2.1431821036325833,1.0,0.013351253005242092,1.2748287010580444,0.5757881764165621,0.12077922077922079,0.2155808861456839,0.24889868866033094,VEGETABLES - SHELF STABLE,BAG SNACKS
YOGURT,BAG SNACKS,0.06607455255012784,0.1586596689543803,0.020723994078858835,0.31364562118126277,1.9768453019490786,1.0,0.010240627444946747,1.2258103933038555,0.5291038212507954,0.10158311345646438,0.1842131495518176,0.22213239498418524,YOGURT,BAG SNACKS
BAKED SWEET GOODS,BAKED BREAD/BUNS/ROLLS,0.06526712420939308,0.2228502220427937,0.03377741892073745,0.5175257731958762,2.3223031525474376,1.0,0.0192326257985796,1.6107591551677136,0.6091504984955082,0.13280423280423279,0.3791747221850314,0.3345479107525275,BAKED SWEET GOODS,BAKED BREAD/BUNS/ROLLS
BATH TISSUES,BAKED BREAD/BUNS/ROLLS,0.04925312878482035,0.2228502220427937,0.022742564930695736,0.46174863387978143,2.072013344420686,1.0,0.011766494244696207,1.4438417194534898,0.5441802032688853,0.09120345385860767,0.3074033070754382,0.28190088698819993,BATH TISSUES,BAKED BREAD/BUNS/ROLLS
BEANS - CANNED GLASS & MW,BAKED BREAD/BUNS/ROLLS,0.03498856143183959,0.2228502220427937,0.020185708518368994,0.5769230769230769,2.58883779264214,1.0,0.012388499834325613,1.8368994751715784,0.6359782457118951,0.08493771234428085,0.45560439560439553,0.3337513935340022,BEANS - CANNED GLASS & MW,BAKED BREAD/BUNS/ROLLS
BEEF,BAKED BREAD/BUNS/ROLLS,0.1438568160409097,0.2228502220427937,0.07145740815502624,0.4967259120673527,2.2289675438239724,1.0,0.03939888475794019,1.5441879417030737,0.64400652177388,0.2420237010027347,0.3524104333458871,0.4086890429901981,BEEF,BAKED BREAD/BUNS/ROLLS
BAKED BREAD/BUNS/ROLLS,BEEF,0.2228502220427937,0.1438568160409097,0.07145740815502624,0.32065217391304346,2.228967543823972,1.0,0.03939888475794019,1.260242766787781,0.7094665786191211,0.2420237010027347,0.20650209122097235,0.4086890429901981,BAKED BREAD/BUNS/ROLLS,BEEF
