antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
DRY NOODLES/PASTA,PASTA SAUCE,0.04763827210335083,0.042928273449064726,0.024491993002287715,0.5141242937853108,11.97635619786409,1.0,0.02244696423079412,1.969787158133902,0.962346682567115,0.3706720977596742,0.4923309374463785,0.5423286045729062,DRY NOODLES/PASTA,PASTA SAUCE
PASTA SAUCE,DRY NOODLES/PASTA,0.042928273449064726,0.04763827210335083,0.024491993002287715,0.5705329153605017,11.976356197864089,1.0,0.02244696423079412,2.2175430014527824,0.9576107244836154,0.3706720977596742,0.5490504583925234,0.5423286045729062,PASTA SAUCE,DRY NOODLES/PASTA
CHEESES,DELI MEATS,0.03794913201453371,0.06567083837976047,0.025837706903512312,0.6808510638297872,10.36763167073596,1.0,0.023345555588333674,2.9275647064100836,0.9391872989229263,0.3321799307958477,0.6584191639520595,0.5371468433903034,CHEESES,DELI MEATS
"CHEESE, COLD CEREAL","BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",0.03902570313551339,0.1032162562239268,0.020589422688736373,0.5275862068965517,5.11146428089736,1.0,0.01656133571458232,1.898301355438403,0.8370269080418425,0.16924778761061945,0.4732132508175683,0.36353234725531625,"CHEESE, COLD CEREAL","BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS"
APPLES,TROPICAL FRUIT,0.04319741622930965,0.12663167810523482,0.023684564661552953,0.5482866043613707,4.329774449531717,1.0,0.018214403354625167,1.9334567677808248,0.8037615074798619,0.16206261510128914,0.48279164206615494,0.36766083671841115,APPLES,TROPICAL FRUIT
PORK,BEEF,0.04279370205894227,0.1438568160409097,0.025703135513389853,0.60062893081761,4.1751857669837795,1.0,0.019546969788587096,2.1437286023542574,0.7944888166567666,0.1596989966555184,0.5335230406956397,0.38965029328532513,PORK,BEEF
"BAG SNACKS, BAKED BREAD/BUNS/ROLLS, BEEF",CHEESE,0.03202799084914547,0.16431166733952363,0.021396851029471135,0.6680672268907564,4.065853859971507,1.0,0.016134278451513037,2.5176433313062456,0.7789989743697356,0.1223076923076923,0.6028031502456056,0.3991441785559433,"BAG SNACKS, BAKED BREAD/BUNS/ROLLS, BEEF",CHEESE
"BAKED BREAD/BUNS/ROLLS, MILK BY-PRODUCTS",CHEESE,0.034181133091104834,0.16431166733952363,0.022742564930695736,0.6653543307086613,4.049343187138462,1.0,0.017126205960942137,2.497233370538364,0.779697307226487,0.12940275650842267,0.5995568488721518,0.40188273455989987,"BAKED BREAD/BUNS/ROLLS, MILK BY-PRODUCTS",CHEESE
"FLUID MILK PRODUCTS, MILK BY-PRODUCTS",CHEESE,0.032431705019512855,0.16431166733952363,0.020454851298613914,0.6307053941908713,3.8384699297562364,1.0,0.015125943772194159,2.262931327766009,0.7642659761364468,0.11603053435114502,0.5580952953675306,0.37759675933949793,"FLUID MILK PRODUCTS, MILK BY-PRODUCTS",CHEESE
"FLUID MILK PRODUCTS, SALD DRSNG/SNDWCH SPRD",CHEESE,0.03566141838245189,0.16431166733952363,0.022473422150450815,0.6301886792452831,3.835325205136526,1.0,0.016613835036337808,2.259769470969656,0.7666041068853083,0.12661106899166033,0.5574769847780513,0.3834809080092099,"FLUID MILK PRODUCTS, SALD DRSNG/SNDWCH SPRD",CHEESE
"BAKED BREAD/BUNS/ROLLS, VEGETABLES - SHELF STABLE",BEEF,0.03808370340465617,0.1438568160409097,0.020993136859103756,0.5512367491166078,3.8318431082184405,1.0,0.015514536544263567,1.9077836303970281,0.7682882427216506,0.13043478260869568,0.47583154396188504,0.34858376277158737,"BAKED BREAD/BUNS/ROLLS, VEGETABLES - SHELF STABLE",BEEF
"BAG SNACKS, BAKED BREAD/BUNS/ROLLS, CHEESE",BEEF,0.03929484591575831,0.1438568160409097,0.021396851029471135,0.5445205479452054,3.7851564001691504,1.0,0.015744019609212,1.8796527046319875,0.7659062938011683,0.132279534109817,0.467986826749579,0.3466288427284493,"BAG SNACKS, BAKED BREAD/BUNS/ROLLS, CHEESE",BEEF
"BAKED BREAD/BUNS/ROLLS, CRACKERS/MISC BKD FD",CHEESE,0.03902570313551339,0.16431166733952363,0.024222850222042795,0.6206896551724138,3.7775141913072945,1.0,0.017810471870749314,2.203178331559438,0.7651356019231667,0.135236664162284,0.5461102781942362,0.3840549012962806,"BAKED BREAD/BUNS/ROLLS, CRACKERS/MISC BKD FD",CHEESE
"BAG SNACKS, BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",CHEESE,0.03969856008612569,0.16431166733952363,0.024626564392410174,0.6203389830508474,3.7753800024986464,1.0,0.018103627793680598,2.2011433762039334,0.7655158788502536,0.13728432108027008,0.5456906574961107,0.38510806646399864,"BAG SNACKS, BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",CHEESE
"BAKED BREAD/BUNS/ROLLS, SALD DRSNG/SNDWCH SPRD",CHEESE,0.03821827479477863,0.16431166733952363,0.023146279101063115,0.6056338028169015,3.685884347856179,1.0,0.016866570646692947,2.1190668435319227,0.7576507950969832,0.12903225806451613,0.5280941688780024,0.3732509718425212,"BAKED BREAD/BUNS/ROLLS, SALD DRSNG/SNDWCH SPRD",CHEESE
"CHEESE, HOT DOGS",BAKED BREAD/BUNS/ROLLS,0.024895707172655095,0.2228502220427937,0.020320279908491456,0.8162162162162162,3.6626224050137095,1.0,0.014772266037152896,4.2286090859436225,0.7455321319092699,0.0893491124260355,0.7635156195156195,0.4536998955477216,"CHEESE, HOT DOGS",BAKED BREAD/BUNS/ROLLS
PASTA SAUCE,BEEF,0.042928273449064726,0.1438568160409097,0.022607993540573273,0.5266457680250783,3.660902434232327,1.0,0.016432468804057302,1.8086733488937072,0.759444968932455,0.1377049180327869,0.44710856683344186,0.3419009943960752,PASTA SAUCE,BEEF
"BAG SNACKS, BEEF",CHEESE,0.04629255820212623,0.16431166733952363,0.027721706365226754,0.5988372093023255,3.6445203131249637,1.0,0.020115298941623453,2.08316511909568,0.7608365378424327,0.1515820456217807,0.5199612403100775,0.3837756890082471,"BAG SNACKS, BEEF",CHEESE
"BAKED BREAD/BUNS/ROLLS, BEEF, FLUID MILK PRODUCTS",CHEESE,0.03929484591575831,0.16431166733952363,0.023280850491185574,0.5924657534246575,3.6057436639628415,1.0,0.016824248840917655,2.050596580982009,0.7522231947448154,0.1291044776119403,0.5123370392429355,0.3670764475558996,"BAKED BREAD/BUNS/ROLLS, BEEF, FLUID MILK PRODUCTS",CHEESE
"BAKED BREAD/BUNS/ROLLS, CHEESE, SOFT DRINKS",BEEF,0.04185170232808505,0.1438568160409097,0.021665993809716056,0.5176848874598071,3.59861215969488,1.0,0.015645341166905812,1.775070201408514,0.7536569195338125,0.13207547169811323,0.43664199916910196,0.33414646618079225,"BAKED BREAD/BUNS/ROLLS, CHEESE, SOFT DRINKS",BEEF
"BAKED BREAD/BUNS/ROLLS, SOUP",CHEESE,0.03512313282196205,0.16431166733952363,0.020723994078858835,0.5900383141762453,3.5909702806254535,1.0,0.014952853562694704,2.0384547179849006,0.7477884040645547,0.11596385542168675,0.5094323208765988,0.35808222015118574,"BAKED BREAD/BUNS/ROLLS, SOUP",CHEESE
"BAKED BREAD/BUNS/ROLLS, FROZEN PIZZA",BAG SNACKS,0.03794913201453371,0.1586596689543803,0.021531422419593594,0.5673758865248226,3.5760561601068335,1.0,0.0155104256970616,1.9447374865152844,0.7487778010910617,0.12298232129131438,0.4857917806727378,0.3515420569180517,"BAKED BREAD/BUNS/ROLLS, FROZEN PIZZA",BAG SNACKS
"DINNER MXS:DRY, FLUID MILK PRODUCTS",BAKED BREAD/BUNS/ROLLS,0.025972278293634774,0.2228502220427937,0.020589422688736373,0.7927461139896372,3.5573045731020496,1.0,0.014801494704042632,3.7497476786435193,0.7380573118996148,0.09021226415094338,0.7333153892739384,0.44256870916873164,"DINNER MXS:DRY, FLUID MILK PRODUCTS",BAKED BREAD/BUNS/ROLLS
"BAKED BREAD/BUNS/ROLLS, COLD CEREAL, FLUID MILK PRODUCTS",CHEESE,0.03525770421208451,0.16431166733952363,0.020589422688736373,0.5839694656488549,3.5540352983101067,1.0,0.014796170523085022,2.008718744560044,0.7448929076442964,0.11503759398496238,0.50217022531991,0.3546382954779901,"BAKED BREAD/BUNS/ROLLS, COLD CEREAL, FLUID MILK PRODUCTS",CHEESE
"FROZEN PIZZA, SOFT DRINKS",BAG SNACKS,0.03969856008612569,0.1586596689543803,0.022338850760328353,0.5627118644067796,3.5466597662483283,1.0,0.016040290359098076,1.923995330685719,0.7477283010967638,0.12691131498470948,0.4802482188750446,0.35175457512111663,"FROZEN PIZZA, SOFT DRINKS",BAG SNACKS
"CONDIMENTS/SAUCES, FLUID MILK PRODUCTS",CHEESE,0.03741084645404387,0.16431166733952363,0.021800565199838515,0.5827338129496403,3.5465151220546907,1.0,0.01565352664239166,2.0027703144794176,0.745939284734196,0.12116679132385941,0.5006916206165503,0.3577059728138865,"CONDIMENTS/SAUCES, FLUID MILK PRODUCTS",CHEESE
"FLUID MILK PRODUCTS, VEGETABLES - SHELF STABLE",CHEESE,0.03579598977257435,0.16431166733952363,0.020858565468981294,0.5827067669172932,3.54635052003473,1.0,0.014976866705381068,2.0026405088980783,0.7446764063660717,0.11636636636636635,0.5006592568377465,0.35482594693121006,"FLUID MILK PRODUCTS, VEGETABLES - SHELF STABLE",CHEESE
"BAKED BREAD/BUNS/ROLLS, BEEF, CHEESE",BAG SNACKS,0.03808370340465617,0.1586596689543803,0.021396851029471135,0.5618374558303887,3.541148544763035,1.0,0.015354503254731582,1.9201557555315352,0.7460168301464455,0.12202609363008443,0.47920891463141685,0.348348753360487,"BAKED BREAD/BUNS/ROLLS, BEEF, CHEESE",BAG SNACKS
HISPANIC,BEEF,0.04925312878482035,0.1438568160409097,0.025030278562777553,0.5081967213114754,3.532656535140855,1.0,0.01794488027574042,1.7408244740501502,0.7540670730315276,0.1489191353082466,0.42555954669373997,0.3410955542946526,HISPANIC,BEEF
"BAKED BREAD/BUNS/ROLLS, CONDIMENTS/SAUCES",BEEF,0.045619701251513926,0.1438568160409097,0.023146279101063115,0.5073746312684366,3.5269418942523414,1.0,0.01658357413028282,1.7379193973780338,0.7507156770157007,0.13915857605177995,0.4245993217472104,0.33413633340783855,"BAKED BREAD/BUNS/ROLLS, CONDIMENTS/SAUCES",BEEF
"BAKED BREAD/BUNS/ROLLS, BEEF, SOFT DRINKS",CHEESE,0.03741084645404387,0.16431166733952363,0.021665993809716056,0.5791366906474821,3.524623053400032,1.0,0.015518955252269203,1.9856526194838673,0.7441198715215699,0.12032884902840062,0.4963872380356585,0.355497911253307,"BAKED BREAD/BUNS/ROLLS, BEEF, SOFT DRINKS",CHEESE
"BAKED BREAD/BUNS/ROLLS, BEEF, SOFT DRINKS",BAG SNACKS,0.03741084645404387,0.1586596689543803,0.020858565468981294,0.5575539568345323,3.514150511651747,1.0,0.014922972955279543,1.9015659514689613,0.743241500295387,0.11904761904761903,0.4741176348748256,0.3445106510211678,"BAKED BREAD/BUNS/ROLLS, BEEF, SOFT DRINKS",BAG SNACKS
"CRACKERS/MISC BKD FD, FLUID MILK PRODUCTS",CHEESE,0.035930561162696814,0.16431166733952363,0.020723994078858835,0.5767790262172284,3.510274319263083,1.0,0.01482018366577139,1.974591016109267,0.7417743479301268,0.1154422788605697,0.4935660134976207,0.35145257617167724,"CRACKERS/MISC BKD FD, FLUID MILK PRODUCTS",CHEESE
"BAKED BREAD/BUNS/ROLLS, CHEESE, SOFT DRINKS",BAG SNACKS,0.04185170232808505,0.1586596689543803,0.023280850491185574,0.5562700964630225,3.506058597808923,1.0,0.016640673254634333,1.8960640793854182,0.7460008443203222,0.1313591495823842,0.47259166455801666,0.3515023086216724,"BAKED BREAD/BUNS/ROLLS, CHEESE, SOFT DRINKS",BAG SNACKS
"FLUID MILK PRODUCTS, LUNCHMEAT",CHEESE,0.04400484457004441,0.16431166733952363,0.025299421343022474,0.5749235474006116,3.4989818843029847,1.0,0.018068911960701893,1.9659718329494658,0.7470776128522139,0.13823529411764704,0.49134571348372696,0.36444785068638275,"FLUID MILK PRODUCTS, LUNCHMEAT",CHEESE
"BEEF, CHEESE, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS,0.027856277755349212,0.2228502220427937,0.021665993809716056,0.7777777777777779,3.4901368760064417,1.0,0.01545821612665075,3.4971740008074303,0.733922638822971,0.09459459459459461,0.7140548340548342,0.43750000000000006,"BEEF, CHEESE, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS
"BAKED BREAD/BUNS/ROLLS, EGGS",CHEESE,0.04844570044408559,0.16431166733952363,0.027721706365226754,0.5722222222222222,3.4825416325416323,1.0,0.01976151254982795,1.9535571412842303,0.7491463148399108,0.14981818181818182,0.48811325818572193,0.3704681954681954,"BAKED BREAD/BUNS/ROLLS, EGGS",CHEESE
"BAG SNACKS, BEEF, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS,0.02691427802449199,0.2228502220427937,0.020858565468981294,0.775,3.4776721014492753,1.0,0.014860712635101771,3.4539990131431395,0.7321567980157119,0.09112286890064668,0.7104805194805195,0.43429951690821256,"BAG SNACKS, BEEF, SOFT DRINKS",BAKED BREAD/BUNS/ROLLS
PASTA SAUCE,CHEESE,0.042928273449064726,0.16431166733952363,0.024491993002287715,0.5705329153605017,3.472260519282463,1.0,0.017438376815864888,1.9458728329831534,0.7439392019678859,0.13402061855670105,0.48609180258355683,0.35979553220932536,PASTA SAUCE,CHEESE
