BASKET_ID,COMMODITY_DESC
26984851472,"['VEGETABLES - ALL OTHERS', 'TROPICAL FRUIT', 'ONIONS', 'ORGANICS FRUIT & VEGETABLES', 'POTATOES']"
26984851516,"['COOKIES/CONES', 'BROOMS AND MOPS', 'BAKED BREAD/BUNS/ROLLS', 'PNT BTR/JELLY/JAMS']"
26984896261,"['CRACKERS/MISC BKD FD', 'BREAKFAST SAUSAGE/SANDWICHES', 'EGGS', 'BEEF', 'CONVENIENT BRKFST/WHLSM SNACKS']"
26984905972,"['SOUP', 'BAKED BREAD/BUNS/ROLLS']"
26984945254,"['ELECTRICAL SUPPPLIES', 'CANDY - PACKAGED', 'CANDY - CHECKLANE']"
26984951769,"['TROPICAL FRUIT', 'COOKIES/CONES', 'BAKED SWEET GOODS', 'BAG SNACKS']"
26985025264,"['PREPARED FOOD', 'BAKED BREAD/BUNS/ROLLS', 'FLUID MILK PRODUCTS', 'HAIR CARE PRODUCTS', 'SUGARS/SWEETNERS', 'BATH TISSUES', 'SOFT DRINKS', 'CAT FOOD', 'EGGS', 'MEAT - SHELF STABLE', 'SOAP - LIQUID & BAR', 'ORAL HYGIENE PRODUCTS']"
26985040735,"['ELECTRICAL SUPPPLIES', 'COLD CEREAL', 'FRZN MEAT/MEAT DINNERS', 'FROZEN PIZZA', 'SOUP', 'PAPER HOUSEWARES', 'FRZN BREAKFAST FOODS', 'VEGETABLES - SHELF STABLE', 'DRY NOODLES/PASTA', 'BAKED BREAD/BUNS/ROLLS', 'TROPICAL FRUIT', 'HAIR CARE PRODUCTS', 'FRZN NOVELTIES/WTR ICE', 'ONIONS', 'CANDY - CHECKLANE', 'CHEESES', 'TOMATOES', 'DELI MEATS', 'BATTERIES', 'FLUID MILK PRODUCTS', 'BATH TISSUES', 'BACON', 'MILK BY-PRODUCTS', 'HISPANIC', 'SOAP - LIQUID & BAR', 'BAG SNACKS', 'COFFEE FILTERS', 'ORAL HYGIENE PRODUCTS', 'PREPARED FOOD', 'TOBACCO OTHER', 'COOKIES/CONES', 'DINNER MXS:DRY', 'REFRGRATD JUICES/DRNKS', 'CHICKEN', 'SOFT DRINKS', 'SEAFOOD - FROZEN', 'VEGETABLES SALAD', 'DRY BN/VEG/POTATO/RICE', 'MEAT - SHELF STABLE']"
26985052379,['BAKED BREAD/BUNS/ROLLS']
26985165432,[' ']
26985205886,"['VEGETABLES - ALL OTHERS', 'CAKES', 'PASTA SAUCE', 'GRAPES', 'BAKED BREAD/BUNS/ROLLS', 'TROPICAL FRUIT', 'CONVENIENT BRKFST/WHLSM SNACKS', 'MISC. DAIRY', 'CRACKERS/MISC BKD FD', 'EASTER', 'BREAD', 'BAKED SWEET GOODS', 'YOGURT', 'CANNED JUICES', 'GREETING CARDS/WRAP/PARTY SPLY', 'REFRGRATD JUICES/DRNKS', 'SOFT DRINKS', 'CHEESE', 'VEGETABLES SALAD', 'CONDIMENTS/SAUCES']"
26985246477,"['FRZN MEAT/MEAT DINNERS', 'FRZN NOVELTIES/WTR ICE']"
26985336468,[' ']
26985360571,"['DRY SAUCES/GRAVY', 'FRZN FRUITS', 'VEGETABLES - ALL OTHERS', 'COLD CEREAL', 'PAPER TOWELS', 'BREAKFAST SAUSAGE/SANDWICHES', 'FROZEN PIZZA', 'SOUP', 'PASTA SAUCE', 'BABY HBC', 'VEGETABLES - SHELF STABLE', 'BUTTER', 'DRY NOODLES/PASTA', 'SEAFOOD - SHELF STABLE', 'BEANS - CANNED GLASS & MW', 'FRZN NOVELTIES/WTR ICE', 'CANDY - CHECKLANE', 'MOLASSES/SYRUP/PANCAKE MIXS', 'LAUNDRY DETERGENTS', 'TEAS', 'FROZEN PIE/DESSERTS', 'PEPPERS-ALL', 'FRUIT - SHELF STABLE', 'FRZN VEGETABLE/VEG DSH', 'MILK BY-PRODUCTS', 'ICE CREAM/MILK/SHERBTS', 'BAKING MIXES', 'DRY MIX DESSERTS', 'CHIPS&SNACKS', 'HOT DOGS', 'BAG SNACKS', 'CANNED JUICES', 'YOGURT', 'LUNCHMEAT', 'DINNER MXS:DRY', 'SOFT DRINKS', 'CANDY - PACKAGED', 'FROZEN MEAT', 'DISHWASH DETERGENTS', 'EGGS', 'SEAFOOD - FROZEN', 'CHEESE', 'FRZN POTATOES', 'MEAT - SHELF STABLE', 'DRY BN/VEG/POTATO/RICE', 'CONDIMENTS/SAUCES']"
26992197681,['UNKNOWN']
26996776017,['EGGS']
26996786121,"['LUNCHMEAT', 'BAKED BREAD/BUNS/ROLLS']"
26996847215,"['LAUNDRY DETERGENTS', 'LAUNDRY ADDITIVES']"
26996870743,"['VEGETABLES - ALL OTHERS', 'COLD CEREAL', ' ', 'REFRIGERATED', 'MELONS', 'SOUP', 'PASTA SAUCE', 'VEGETABLES - SHELF STABLE', 'GRAPES', 'DRY NOODLES/PASTA', 'BAKED BREAD/BUNS/ROLLS', 'SALAD MIX', 'FEMININE HYGIENE', 'BAKING NEEDS', 'TOMATOES', 'FROZEN PIE/DESSERTS', 'FRUIT - SHELF STABLE', 'FLUID MILK PRODUCTS', 'CHICKEN/POULTRY', 'CANNED MILK', 'MILK BY-PRODUCTS', 'ICE CREAM/MILK/SHERBTS', 'HOT CEREAL', 'CANNED JUICES', 'DINNER MXS:DRY', 'BEEF', 'CHEESE', 'CIGARETTES']"
26996955143,"['BROOMS AND MOPS', 'FRUIT - SHELF STABLE', 'BAKED BREAD/BUNS/ROLLS', 'AIR CARE', 'SOFT DRINKS', 'HOUSEHOLD CLEANG NEEDS', 'SOUP', 'SOAP - LIQUID & BAR', 'PAPER HOUSEWARES', 'ETHNIC PERSONAL CARE', 'BABY HBC', 'BAKED SWEET GOODS', 'PNT BTR/JELLY/JAMS', 'BAG SNACKS', 'CANNED JUICES', 'GREETING CARDS/WRAP/PARTY SPLY']"
26996958588,"['DRY BN/VEG/POTATO/RICE', 'SPICES & EXTRACTS', 'FRZN MEAT/MEAT DINNERS', 'PAPER HOUSEWARES']"
26997020993,['PREPAID WIRELESS&ACCESSORIES']
26997021609,['BAKED BREAD/BUNS/ROLLS']
